foodcategory,fooditem,per100grams,cals_per100grams,kj_per100grams
cannedfruit,applesauce,100g,62,260
cannedfruit,cannedapricots,100g,48,202
cannedfruit,cannedblackberries,100g,92,386
cannedfruit,cannedblueberries,100g,88,370
cannedfruit,cannedcherries,100g,54,227
cannedfruit,cannedcranberries,100g,178,748
cannedfruit,cannedcrushedpineapple,100g,53,223
cannedfruit,cannedfigs,100g,107,449
cannedfruit,cannedfruitcocktail,100g,81,340
cannedfruit,cannedfruitsalad,100g,50,210
cannedfruit,cannedgooseberries,100g,73,307
cannedfruit,cannedgrapefruit,100g,37,155
cannedfruit,cannedgrapes,100g,76,319
cannedfruit,cannedmandarinoranges,100g,71,298
cannedfruit,cannedmango,100g,65,273
cannedfruit,cannedmangosteen,100g,73,307
cannedfruit,cannedmixedfruit,100g,71,298
cannedfruit,cannedmorellocherries,100g,81,340
cannedfruit,cannedoranges,100g,62,260
cannedfruit,cannedpeaches,100g,54,227
cannedfruit,cannedpears,100g,35,147
cannedfruit,cannedpineapple,100g,60,252
cannedfruit,cannedplums,100g,58,244
cannedfruit,cannedraspberries,100g,91,382
cannedfruit,cannedslicedpineapple,100g,53,223
cannedfruit,cannedsourcherries,100g,114,479
cannedfruit,cannedstrawberries,100g,92,386
cannedfruit,cannedtangerines,100g,61,256
cannedfruit,driedfruit,100g,243,1021
fruits,acai,100g,70,294
fruits,apple,100g,52,218
fruits,applesauce,100g,68,286
fruits,apricot,100g,48,202
fruits,avocado,100g,160,672
fruits,banana,100g,89,374
fruits,blackberries,100g,43,181
fruits,bloodoranges,100g,50,210
fruits,blueberries,100g,57,239
fruits,cantaloupe,100g,34,143
fruits,cherries,100g,50,210
fruits,clementine,100g,47,197
fruits,cranberries,100g,46,193
fruits,currants,100g,56,235
fruits,custardapple,100g,101,424
fruits,dates,100g,282,1184
fruits,figs,100g,74,311
fruits,fruitsalad,100g,50,210
fruits,grapes,100g,69,290
fruits,greengage,100g,41,172
fruits,guava,100g,68,286
fruits,jackfruit,100g,95,399
fruits,jujube,100g,79,332
fruits,kiwi,100g,61,256
fruits,lemon,100g,29,122
fruits,lime,100g,30,126
fruits,lychees,100g,66,277
fruits,mandarinoranges,100g,53,223
fruits,mango,100g,60,252
fruits,minneola,100g,64,269
fruits,mulberries,100g,43,181
fruits,nectarine,100g,44,185
fruits,olives,100g,115,483
fruits,orange,100g,47,197
fruits,papaya,100g,43,181
fruits,passionfruit,100g,97,407
fruits,peach,100g,39,164
fruits,pear,100g,57,239
fruits,persimmon,100g,127,533
fruits,physalis,100g,49,206
fruits,pineapple,100g,50,210
fruits,plantains,100g,122,512
fruits,plum,100g,46,193
fruits,pomegranate,100g,83,349
fruits,quince,100g,57,239
fruits,raisins,100g,299,1256
fruits,rambutan,100g,82,344
fruits,raspberries,100g,52,218
fruits,rhubarb,100g,21,88
fruits,starfruit,100g,31,130
fruits,strawberries,100g,32,134
fruits,tamarind,100g,239,1004
fruits,tangerine,100g,53,223
fruits,watermelon,100g,30,126
tropicalexoticfruits,acerola,100g,32,134
tropicalexoticfruits,asianpear,100g,42,176
tropicalexoticfruits,avocado,100g,160,672
tropicalexoticfruits,banana,100g,89,374
tropicalexoticfruits,breadfruit,100g,103,433
tropicalexoticfruits,cantaloupemelon,100g,34,143
tropicalexoticfruits,casabamelon,100g,28,118
tropicalexoticfruits,cherimoya,100g,75,315
tropicalexoticfruits,dragonfruit,100g,60,252
tropicalexoticfruits,durian,100g,147,617
tropicalexoticfruits,feijoa,100g,55,231
tropicalexoticfruits,galiamelon,100g,23,97
tropicalexoticfruits,grapefruit,100g,42,176
tropicalexoticfruits,guava,100g,68,286
tropicalexoticfruits,honeydew,100g,36,151
tropicalexoticfruits,jackfruit,100g,95,399
tropicalexoticfruits,kiwi,100g,61,256
tropicalexoticfruits,kumquat,100g,71,298
tropicalexoticfruits,lychee,100g,66,277
tropicalexoticfruits,mandarinoranges,100g,53,223
tropicalexoticfruits,mango,100g,60,252
tropicalexoticfruits,mangosteen,100g,73,307
tropicalexoticfruits,maracuya,100g,97,407
